Symbol,Stock Name,Price,Market Cap
AAPL,Apple Inc.,248.0500030517578,3749474205696
GOOGL,Alphabet Inc.,188.39999389648438,2315888099328
AMZN,"Amazon.com, Inc.",220.52000427246094,2318768013312
